survey_id,recipient_id,date,success
s-000001,r-00099,01/06/21,TRUE
s-000002,r-00034,11/14/20,FALSE
s-000003,r-00036,11/16/20,FALSE
s-000004,r-00046,01/15/21,TRUE
s-000005,r-00122,01/29/21,TRUE
s-000006,r-00181,12/31/20,FALSE
s-000007,r-00197,12/27/20,FALSE
s-000008,r-00180,12/20/20,FALSE
s-000009,r-00050,11/30/20,FALSE
s-000010,r-00173,12/03/20,FALSE
s-000011,r-00079,12/17/20,TRUE
s-000012,r-00055,11/25/20,FALSE
s-000013,r-00086,12/24/20,TRUE
s-000014,r-00146,12/22/20,TRUE
s-000015,r-00033,11/03/20,FALSE
s-000016,r-00058,11/28/20,FALSE
s-000017,r-00028,11/08/20,FALSE
s-000018,r-00193,01/22/21,FALSE
s-000019,r-00111,01/18/21,TRUE
s-000020,r-00038,11/08/20,FALSE
s-000021,r-00185,12/15/20,FALSE
s-000022,r-00147,12/23/20,TRUE
s-000023,r-00020,12/20/20,TRUE
s-000024,r-00007,11/17/20,FALSE
s-000025,r-00004,11/04/20,FALSE
s-000026,r-00191,12/11/20,FALSE
s-000027,r-00011,11/11/20,FALSE
s-000028,r-00012,12/12/20,TRUE
s-000029,r-00195,12/25/20,FALSE
s-000030,r-00076,11/16/20,FALSE
s-000031,r-00003,11/13/20,FALSE
s-000032,r-00136,12/12/20,TRUE
s-000033,r-00058,01/27/21,TRUE
s-000034,r-00194,12/04/20,FALSE
s-000035,r-00047,11/27/20,FALSE
s-000036,r-00030,11/10/20,FALSE
s-000037,r-00035,11/15/20,FALSE
s-000038,r-00183,01/02/21,FALSE
s-000039,r-00127,12/03/20,TRUE
s-000040,r-00046,11/16/20,FALSE
s-000041,r-00175,12/15/20,FALSE
s-000042,r-00033,11/13/20,FALSE
s-000043,r-00184,12/04/20,FALSE
s-000044,r-00077,12/15/20,TRUE
s-000045,r-00100,11/10/20,FALSE
s-000046,r-00035,11/05/20,FALSE
s-000047,r-00031,11/11/20,FALSE
s-000048,r-00013,11/23/20,FALSE
s-000049,r-00184,01/29/21,FALSE
s-000050,r-00197,12/17/20,FALSE
s-000051,r-00049,11/19/20,FALSE
s-000052,r-00187,01/16/21,FALSE
s-000053,r-00106,01/13/21,TRUE
s-000054,r-00041,01/10/21,TRUE
s-000055,r-00199,01/28/21,FALSE
s-000056,r-00183,12/03/20,FALSE
s-000057,r-00046,11/26/20,FALSE
s-000058,r-00183,12/13/20,FALSE
s-000059,r-00086,11/26/20,FALSE
s-000060,r-00025,12/25/20,TRUE
s-000061,r-00097,11/07/20,FALSE
s-000062,r-00194,01/23/21,FALSE
s-000063,r-00192,12/02/20,FALSE
s-000064,r-00123,01/30/21,TRUE
s-000065,r-00128,12/04/20,TRUE
s-000066,r-00178,12/28/20,FALSE
s-000067,r-00189,12/19/20,FALSE
s-000068,r-00009,11/19/20,FALSE
s-000069,r-00007,11/07/20,FALSE
s-000070,r-00041,11/11/20,FALSE
s-000071,r-00199,12/09/20,FALSE
s-000072,r-00087,11/27/20,FALSE
s-000073,r-00191,01/20/21,FALSE
s-000074,r-00030,12/30/20,TRUE
s-000075,r-00021,11/21/20,FALSE
s-000076,r-00119,01/26/21,TRUE
s-000077,r-00096,11/06/20,FALSE
s-000078,r-00190,12/10/20,FALSE
s-000079,r-00056,11/26/20,FALSE
s-000080,r-00017,12/17/20,TRUE
s-000081,r-00050,11/20/20,FALSE
s-000082,r-00186,12/26/20,FALSE
s-000083,r-00126,12/02/20,TRUE
s-000084,r-00135,12/11/20,TRUE
s-000085,r-00182,12/22/20,FALSE
s-000086,r-00173,12/13/20,FALSE
s-000087,r-00174,01/19/21,FALSE
s-000088,r-00199,12/19/20,FALSE
s-000089,r-00017,11/27/20,FALSE
s-000090,r-00005,11/15/20,FALSE
s-000091,r-00063,11/03/20,FALSE
s-000092,r-00089,11/29/20,FALSE
s-000093,r-00009,12/09/20,TRUE
s-000094,r-00185,01/30/21,FALSE
s-000095,r-00182,01/27/21,FALSE
s-000096,r-00137,12/13/20,TRUE
s-000097,r-00200,01/29/21,FALSE
s-000098,r-00193,12/03/20,FALSE
s-000099,r-00006,12/06/20,TRUE
s-000100,r-00037,01/06/21,TRUE
s-000101,r-00012,11/12/20,FALSE
s-000102,r-00173,01/18/21,FALSE
s-000103,r-00001,12/01/20,TRUE
s-000104,r-00094,11/04/20,FALSE
s-000105,r-00185,12/05/20,FALSE
s-000106,r-00124,01/31/21,TRUE
s-000107,r-00179,12/19/20,FALSE
s-000108,r-00048,11/28/20,FALSE
s-000109,r-00160,01/05/21,TRUE
s-000110,r-00078,12/16/20,TRUE
s-000111,r-00143,12/19/20,TRUE
s-000112,r-00025,11/25/20,FALSE
s-000113,r-00188,12/08/20,FALSE
s-000114,r-00186,01/05/21,FALSE
s-000115,r-00088,11/28/20,FALSE
